sr,service,name,name_mm,address,address_mm,phone1,phone2,phone3,phone4,phone5,township_mm,Pyinoolwin,state_region_mm,state_region,LatLong,remark,running_status,status,services,curfew,opening_hour,opening_days,updated_phone,new_lat,new_long,url
11,အောက်ဆီဂျင်,Gone Taw Yeik Thar Oxygen Donation Group,ဂုဏ်တော်ရိပ်သာ အောက်ဆီဂျင် အလှူအဖွဲ့,"Thandar St., Corner of Shukhin Thar St., Gone Taw Yeik Thar Thandar Oo Kyaung Tike, Nga Ward,
North Okkalapa, Yangon
, Myanmar",သန္တာလမ်း၊ ရှုခင်းသာလမ်းဒေါင့်၊ ဂုဏ်တော်ရိပ်သာ သန္တာဦး ကျောင်းတိုက်၊ င ရပ်ကွက်၊ မြောက်ဥက္ကလာပ၊ ရန်ကုန်,09250506272,09250673126,,,,မြောက်ဥက္ကလာပ,North Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.918775,96.163028",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/gone-taw-yeik-thar-oxygen-donation-group-l00245463.html
12,အောက်ဆီဂျင်,Kan Kaung,ကံကောင်း,"277, Theingi 1st St., Ward (5),
Thaketa, Yangon
, Myanmar",၂၇၇၊ သိင်္ဂီ ၁လမ်း၊ ၅ ရပ်ကွက်၊ သာကေတ၊ ရန်ကုန်,09420778897,0943125637,,,,သာကေတ,Thaketa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.793009,96.202959",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/kan-kaung-l00227918.html
13,အောက်ဆီဂျင်,Karunar Yaung Chi Oxygen Group,ဂရုဏာရောင်ခြည် အောက်ဆီဂျင်အဖွဲ့,"Mandalay St., Peinnae Kone Kyaung Tike, Kan Daw Kalay (South) Ward,
Mingalar Taung Nyunt, Yangon
, Myanmar",မန္တလေးလမ်း၊ ပိန္နဲကုန်းကျောင်းတိုက်၊ ကန်တော်လေး(တောင်)ရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်၊ ရန်ကုန်,01379086,09401645712,0930073739,,,မင်္ဂလာတောင်ညွန့်,Mingalartaungnyunt,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.788908,96.167859",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/karunar-yaung-chi-oxygen-group-l00245535.html
14,အောက်ဆီဂျင်,Lu Hmu Saydanar [Free] Oxygen Ku Nyi Yae,လူမှုစေတနာ(အခမဲ့)အောက်ဆီဂျင်ကူညီရေး,"Padamyar 4th St., Sarsanar Hita Dhara Dhamar Yone, Ward (7-West),
Thaketa, Yangon
, Myanmar",ပတ္တမြား(၄)လမ်း၊ လမ်းသွယ် အိမ်ယာသစ်(၇) အနောက်ရပ်ကွက်၊ သာကေတမြို့နယ်,0943128518,09547403,09421030317,0973109633,,သာကေတ,Thaketa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.793009,96.202959",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/lu-hmu-saydanar-free-oxygen-ku-nyi-yae-l00246313.html
15,အောက်ဆီဂျင်,Marga Oxygen Jivitadana Kutho Pyu Group,မာဃ အောက်ဆီဂျင် ဇီဝိတဒါန ကုသိုလ်ပြုအဖွဲ့,"913/A, Mar Ga 12th St., Ward (12),
South Okkalapa, Yangon
, Myanmar",၉၁၃/က၊ မာဃ ၁၂ လမ်း၊ ၁၂ ရပ်ကွက်၊ တောင်ဥက္ကလာပ၊ ရန်ကုန်,09420591759,09448017726,09799884300,095188936,09451835194,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,,,http://www.yangondirectory.com/listing/marga-oxygen-jivitadana-kutho-pyu-group-l00245490.html
16,အောက်ဆီဂျင်,Mayan Su Saetanar,မရမ်းစု စေတနာ,"Mayan Su St., Ward (3),
Mayangone, Yangon
, Myanmar",မရမ်းစုလမ်း၊ ၃ ရပ်ကွက်၊ မရမ်းကုန်း၊ ရန်ကုန်,09262651983,09692732665,0932239445,,,မရမ်းကုန်း,Mayangone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.86619,96.142611",,,Need Confirmation,,,,,,16.86619,96.142611,http://www.yangondirectory.com/listing/mayan-su-saetanar-l00292565.html
17,အောက်ဆီဂျင်,Muditar,မုဒိတာ,"Sittaung St., Ward (31),
North Dagon, Yangon
, Myanmar",စစ်တောင်းလမ်း၊ ၃၁ ရပ်ကွက်၊ တောင်ဒဂုံ၊ ရန်ကုန်,095050719,,,,,ဒဂုံမြို့သစ်(တောင်ပိုင်း),Dagon Myothit (South) ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.84016,96.22582",,,Need Confirmation,,,,,,16.81779673,96.24434903,http://www.yangondirectory.com/listing/muditar-l00210106.html
18,အောက်ဆီဂျင်,Muditar,မုဒိတာ,"166th St., Tarmway Gyee (Kha) Ward,
Tarmwe, Yangon
, Myanmar",၁၆၆ လမ်း၊ တာမွေကြီး(ခ) ရပ်ကွက်၊ တာမွေ၊ ရန်ကုန်,09421005335,095146798,0943081618,09798162370,,တာမွေ,Tamwe,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.810182,96.17646",,,Need Confirmation,,,,,,16.81319752,96.17280304,http://www.yangondirectory.com/listing/muditar-l00245508.html
19,အောက်ဆီဂျင်,Myat Saydanar Mon Welfare Association,မြတ်စေတနာမွန်ပရဟိတအသင်း,"Baya Kyaw Thu St., Ward (7),
South Okkalapa, Yangon
, Myanmar",ဘယကျော်သူလမ်း၊၇ရပ်ကွက်၊တောင်ဥက္ကလာပ၊ ရန်ကုန်,09773994911,09773994922,09795379733,09789577566,0943027191,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,16.84845178,96.18030514,http://www.yangondirectory.com/listing/myat-saydanar-mon-welfare-association-l00245488.html
20,အောက်ဆီဂျင်,Nay La,နေလ,"Ka Gyi/164, Kanbei Butar Yon Rd., Ward (12),
Yankin, Yangon
, Myanmar",က/၁၆၄၊ ကန်ဘဲ့ဘူတာရုံလမ်း၊ ၁၂ ရပ်ကွက်၊ ရန်ကင်း၊ ရန်ကုန်,09450021082,098619939,0973016916,9771147482,,ရန်ကင်း,Yankin,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.83601,96.162395",,,Same as Original,အောက်ဆီဂျင်အပိုပစ္စည်းရရှိနိုင်,ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,09-8619989,16.84153162,96.16581827,http://www.yangondirectory.com/listing/nay-la-l00249431.html
21,အောက်ဆီဂျင်,O2 Jivitadana Emergency Oxygen Supply,အိုတူး ဇီဝိတဒါန အရေးပေါ် အောက်ဆီဂျင် အလှူ,"Aung Thapyay St., Corner of Dhamar Yone St., Ward (7-East),
Thaketa, Yangon
, Myanmar",အောင်သပြေလမ်း၊ ဓမ္မာရုံလမ်းဒေါင့်၊ အရှေ့ ၇ ရပ်ကွက်၊ သာကေတ၊ ရန်ကုန်,09421087409,0943105871,9420065089,,,သာကေတ,Thaketa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.793009,96.202959",,,Need Confirmation,,,,,,16.80302341,96.21468899,http://www.yangondirectory.com/listing/o2-jivitadana-emergency-oxygen-supply-l150416.html
22,အောက်ဆီဂျင်,Oxygen Donation Group,အောက်ဆီဂျင်အလှူအဖွဲ့,"8/1, Dhama Yarzar St., Ward (10),
South Okkalapa, Yangon
, Myanmar",၈/၁၊ ဓမ္မရာဇာလမ်း၊ ၁၀ ရပ်ကွက်၊ တောင်ဥက္ကလာပ၊ ရန်ကုန်,095072781,09420000564,09979613961,,,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,16.8466016,96.18258463,http://www.yangondirectory.com/listing/oxygen-donation-group-l00245489.html
23,အောက်ဆီဂျင်,Padan Myay Phyu Sin Myittar [Free],ပန်းမြဖြူစင်မေတ္တာ (အခမဲ့),"Anawrahta Rd., Padan Pariyati Sar Thin Tike, Ah Twinn Padan Village,
Hlaing Thar Yar, Yangon
, Myanmar",အနော်ရထာလမ်း၊ ပဒန်း ပရိယတ္တိ စာသင်တိုက်၊ အတွင်းပဒန်းရွာ၊ လှိုင်သာယာ၊ ရန်ကုန်,0973022897,097322897,09250039600,0973031420,09450017677,လှိုင်သာယာ,Hlaingtharya ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.85402,96.06893",,,Need Confirmation,,,,,,16.91789202,96.05343293,http://www.yangondirectory.com/listing/padan-myay-phyu-sin-myittar-free-l00245494.html
24,အောက်ဆီဂျင်,Pay Satt Chinn Welfare Association,ပေးဆပ်ခြင်း လူမှူဖူလုံရေးအသင်း,"Tharyar Gone St., Byama Wihara Kyaung Tike,
Pazundaung, Yangon
, Myanmar",သာယာကုန်းလမ်း၊ ဗြမ္မဝိဟာရကျောင်းတိုက်၊ ပုဇွန်တောင်၊ ရန်ကုန်,09421060011,09777704461,09421139525,,,ပုဇွန်တောင်,Pazundaung,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.779648,96.174392",,,Same as Original,"အောက်ဆီဂျင်အပိုပစ္စည်းရရှိနိုင်,အောက်ဆီဂျင်ဖြည့်လို့ရ",ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,,16.77809958,96.17461043,http://www.yangondirectory.com/listing/pay-satt-chinn-welfare-association-l00245469.html
25,အောက်ဆီဂျင်,Pone Nya Kari,ပုညကာရီ အောက်ဆီဂျင် ကူညီရေး,"Baho Rd. (Upper), Zeyar Lin Monastery, Ward (2),
Mayangone, Yangon
, Myanmar",ဗဟိုအထက်လမ်း၊ ဇေယျာလင်းကျောင်းတိုက်၊ ၂ ရပ်ကွက်၊ မရမ်းကုန်း၊ ရန်ကုန်,09795533696,09250152545,098622653,098611653,,မရမ်းကုန်း,Mayangone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.86619,96.142611",,,Need Confirmation,,,,,,16.81110597,96.1263544,http://www.yangondirectory.com/listing/pone-nya-kari-l00249428.html
26,အောက်ဆီဂျင်,Private Oxygen Donation,ပုဂ္ဂလိက အောက်ဆီဂျင် အလှူ,"601/A, Atthaka 20th St., Ward (10),
South Okkalapa, Yangon
, Myanmar",၆၀၁/က၊ အသက ၂၀ လမ်း၊ ၁၀ ရပ်ကွက်၊ တောင်ဥက္ကလာပ၊ ရန်ကုန်,0973008409,,,,,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Need Confirmation,,,,,,16.84998727,96.18747813,http://www.yangondirectory.com/listing/private-oxygen-donation-l00245532.html
27,အောက်ဆီဂျင်,Saydanar Shin Lu Hmu Ku Nyi Yay Ah Thin,စေတနာရှင် လူမှူကူညီရေးအသင်း,"8, Bo La Yaung St., Bo Htun Zan Ward,
Dawbon, Yangon
, Myanmar",၈ ဗိုလ်လရောင်လမ်း၊ ဗိုလ်ထွန်းဇန်ရပ်ကွက်၊ ဒေါပုံ၊ ရန်ကုန်,09421117466,9793181781,,,,ဒေါပုံ,Dawbon,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.781917,96.18435",,,Same as Original,"အောက်ဆီဂျင်အပိုပစ္စည်းရရှိနိုင်,အောက်ဆီဂျင်ဖြည့်လို့ရ",ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,,16.78666612,96.18868432,http://www.yangondirectory.com/listing/saydanar-shin-lu-hmu-ku-nyi-yay-ah-thin-l00245504.html
28,အောက်ဆီဂျင်,Shin Than Chin,ရှင်သန်ခြင်း,"44, 1st Flr, Htar Nar St., Ma Gyee Dan (North-East) Ward,
Kyeemyin Daing, Yangon
, Myanmar",၄၄၊ ပထမထပ်၊ ဌာနာလမ်း၊ မန်ကျီးတန်း အရှေ့မြောက်ရပ်ကွက်၊ ကြည့်မြင်တိုင်၊ ရန်ကုန်,095062666,0943021296,095090780,0943115305,09799641769,ကြည့်မြင်တိုင်,Kyeemyindaing,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.814573,96.121879",,,Same as Original,"အောက်ဆီဂျင်အပိုပစ္စည်းရရှိနိုင်,လူနာတင်ယဥ်,နာရေးကူညီမှု",ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,,16.78939449,96.1279349,http://www.yangondirectory.com/listing/shin-than-chin-l00219495.html
29,အောက်ဆီဂျင်,Shwe Sin Thitsar,ရွှေစင်သစ္စာ,"85, Set Yon Rd.(Mill Rd.), Mingalar Taung Nyunt Ward,
Mingalar Taung Nyunt, Yangon
, Myanmar",၈၅၊ စက်ရုံလမ်း၊ မင်္ဂလာတောင်ညွန့် ရပ်ကွက်၊ မင်္ဂလာတောင်ညွန့်,095171161,095061077,09261797720,,,မင်္ဂလာတောင်ညွန့်,Mingalartaungnyunt,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.788908,96.167859",,,Same as Original,,ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,,16.78851298,96.17582387,http://www.yangondirectory.com/listing/shwe-sin-thitsar-l00219857.html
30,အောက်ဆီဂျင်,Tagaung Oxygen,တကောင်း အောက်ဆီဂျင်,"464, Tagaung 8th St., Ward (5),
South Okkalapa, Yangon
, Myanmar",၄၆၄၊ တကောင်း ၈ လမ်း၊ ၅ ရပ်ကွက်၊ တောင်ဥက္ကလာပ၊ ရန်ကုန်,09450015272,09790966994,,,,တောင်ဥက္ကလာပ,South Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.846249,96.179859",,,Same as Original,,ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,,16.85778432,96.17637426,http://www.yangondirectory.com/listing/tagaung-oxygen-l00245514.html
31,အောက်ဆီဂျင်,U Thone Da Ya [Mya Saydi Saya Taw],ဥူး သုန္ဒရ မြစေတီ ဆရာတော်,"Kyaik Khauk Pagoda Rd., Ah Hmu Htan Ward,
Than Lyin, Yangon
, Myanmar",ကျိုက်ခေါက်ဘုရားလမ်း၊ အမှုထမ်းရပ်ကွက်၊ သန်လျင်၊ ရန်ကုန်,09256510400,,,,,သန်လျင်,Thanlyin ,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.76378,96.25184",,,Can't Identify,,,,,,16.75416417,96.25890023,http://www.yangondirectory.com/listing/u-thone-da-ya-mya-saydi-saya-taw-l00248144.html
32,အောက်ဆီဂျင်,Wah Yu Darna,ဝါယု ဒါန,"Oak Pon Seik St., Zwe Sone Thantika Kyaung Tike Compound, Ward (8),
Mayangone, Yangon
, Myanmar",အုတ်ပုံဆိပ်လမ်း၊ ဇွဲစုံသန္တိကကျောင်းတိုက်ဝန်း၊ ၈ ရပ်ကွက်၊ မရမ်းကုန်း၊ ရန်ကုန်,09250029882,09252694278,09793131440,09780552612,,မရမ်းကုန်း,Mayangone,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.86619,96.142611",,,Same as Original,,,,,,16.86619,96.142611,http://www.yangondirectory.com/listing/wah-yu-darna-l00249432.html
33,အောက်ဆီဂျင်,Wuntharnu Rakhita Sanay Lu Nge Myar Ah Thin,ဝံသာနု ရက္ခိတ - စနေလူငယ်များ အသင်း (ကမာရွတ်),"102, Baho Rd., Ward (3),
Kamayut, Yangon
, Myanmar",၁၀၂၊ ဗဟိုလမ်း၊ ၃ ရပ်ကွက်၊ ကမာရွတ်၊ ရန်ကုန်,09421067069,095401677,09799294856,,,ကမာရွတ်,Kamaryut,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.827684,96.132439",,,Same as Original,"အောက်ဆီဂျင်အပိုပစ္စည်းရရှိနိုင်,အောက်ဆီဂျင်ဖြည့်လို့ရ",ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,ပိတ်ရက်မရှိ,,16.82798609,96.12449293,http://www.yangondirectory.com/listing/wuntharnu-rakhita-sanay-lu-nge-myar-ah-thin-l00245533.html
34,အောက်ဆီဂျင်,Yan Aung Myay Lay Ah Hlu Taw,ရန်အောင်မြေ လေအလှူတော်,"Myoh Patt (East) St., Infront Of B.E.P.S (4), Saya San (North-East) Ward,
Bahan, Yangon
, Myanmar",အရှေ့ မြို့ပါတ်လမ်း၊ အမက ၄ ရှေ့၊ ဆရာစံ အရှေ့မြောက် ရပ်ကွက်၊ ဗဟန်း၊ ရန်ကုန်,0930257024,09401646395,,,,ဗဟန်း,Bahan,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.815427,96.156112",,,Can't Identify,,,,,,16.8210586,96.16539515,http://www.yangondirectory.com/listing/yan-aung-myay-lay-ah-hlu-taw-l00245495.html
35,အောက်ဆီဂျင်,Za Myin Zwel-May Darwi Oxygen,စျ-မေဒါဝီ အောက်ဆီဂျင်,"May Darwi Rd., Thedamahitakari Dhamar Yone, Za Myin Zwel Ward,
North Okkalapa, Yangon
, Myanmar",မေဒါဝီလမ်း၊ ဓမ္မထိတကာရီ ဓမ္မာရုံ၊ (စျ)ရပ်ကွက် မြောက်ဥက္ကလာပ၊ ရန်ကုန်,0973242261,095139145,09764433747,,,မြောက်ဥက္ကလာပ,North Okkalapa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.918775,96.163028",,,Can't Identify,,,,,,16.91251814,96.16172156,http://www.yangondirectory.com/listing/za-myin-zwel-may-darwi-oxygen-l00245462.html
36,အောက်ဆီဂျင်,Zabu Maung Mel,ဇမ္ဗူ မောင်မယ်,"Zabu Thiri St., Corner of Zabu Thiri 6th St., Ward (6-West),
Thaketa, Yangon
, Myanmar",ဇမ္ဗူသီရိလမ်း၊ ဇမ္ဗူသီရိ(၆)လမ်းဒေါင့်၊ အနောက် ၆ ရပ်ကွက်၊ သာကေတ၊ ရန်ကုန်,09254447215,09443015420,,,,သာကေတ,Thaketa,ရန်ကုန်တိုင်းဒေသကြီး,Yangon,"16.793009,96.202959",,,Same as Original,"အောက်ဆီဂျင်ဖြည့်လို့ရ,လူနာတင်ယဥ်",,မနက်၈-ည၇,ပိတ်ရက်မရှိ,,16.79425851,96.20568206,http://www.yangondirectory.com/listing/zabu-maung-mel-l00245518.html
37,အောက်ဆီဂျင်,,မြတ်သဒ္ဒါ လူမှုနာမူ ကူညီရေးအသင်း,,၆၂လမ်းနှင့် ၂၇လမ်းထောင့်၊ ချမ်းအေးသာဇံမြို့နယ်,09252599299,09777199299,,,,ချမ်းအေးသာဇံ,Chanayethazan ,မန္တလေးတိုင်းဒေသကြီး,Mandalay,"21.97535,96.094599",,,Can't Identify,,,,,,,,https://www.facebook.com/drni.online2020/posts/298322988690355
38,အောက်ဆီဂျင်,Pale Foundation,ပုလဲဖောင်ဒေးရှင်း,,၇၈လမ်းနှင့် သိပ္ပံလမ်းထောင့်၊ သီတာအေး ၉၀၁ ရပ်၊ ချမ်း/မြောက်၊ မဟာအောင်မြေမြို့နယ်,09889900345,024076261,,,,မဟာအောင်မြေ,Mahaaungmyay ,မန္တလေးတိုင်းဒေသကြီး,Mandalay,"21.97535,96.094599",,stopped,Stop Service,,,,,,,,https://www.facebook.com/drni.online2020/posts/298322988690355
39,အောက်ဆီဂျင်,,မနောကြာဖြူ ပရဟိတအသင်း,,53 လမ်း မြရည်နန္ဒာရပ်ကွက် ချမ်းမြသာစည်မြို့နယ်,09752348362,092006423,0943099660,,,ချမ်းမြသာစည်,Chanmyathazi ,မန္တလေးတိုင်းဒေသကြီး,Mandalay,"21.939404,96.095838",,,Same as Original,အောက်ဆီဂျင်ဖြည့်လို့ရ,,မနက်၈-ည၇,ပိတ်ရက်မရှိ,,,,https://www.facebook.com/drni.online2020/posts/298322988690355
40,အောက်ဆီဂျင်,,သစ္စာတံခွန် ပရဟိတအသင်း,,,0991004560,,,,,,,,,,,stopped,Stop Service,,,,Unavailable,,,,https://www.facebook.com/drni.online2020/posts/298322988690355
41,အောက်ဆီဂျင်,,စေတမန် လူမှုကူညီရေးအသင်း,,၃၅လမ်း၊ ၇၄လမ်း×၇၅လမ်းကြား,0943100786,09444457786,,,,မဟာအောင်မြေ,Mahaaungmyay ,မန္တလေးတိုင်းဒေသကြီး,Mandalay,"21.97535,96.094599",,,74-75 လမ်း၊ 35 လမ်းထောင့်၊ ကရဝိတ် လက်ဖက်ရည် ဆိုင်နား မဟာအောင်မြေ မန္တလေးတိုင်းဒေသကြီး,လူနာတင်ယဥ်,ညမထွက်ရအချိန်ကူညီပေး,၂၄ နာရီ,,,21.968747,96.091414,https://www.facebook.com/drni.online2020/posts/298322988690355
